分类: 💰央视付费频道, 名称: 风云足球, 有效: 2, IPv4: 27, IPv6: 0, 最小延迟: 228 ms, 最高速率: 19.99 M/s, 平均速率: 10.28 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 电视指南, 有效: 3, IPv4: 15, IPv6: 0, 最小延迟: 447 ms, 最高速率: 9.13 M/s, 平均速率: 3.64 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 世界地理, 有效: 1, IPv4: 22, IPv6: 0, 最小延迟: 330 ms, 最高速率: 18.33 M/s, 平均速率: 18.33 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 5, IPv4: 22, IPv6: 0, 最小延迟: 185 ms, 最高速率: 19.73 M/s, 平均速率: 4.43 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 11, IPv6: 0, 最小延迟: 4 ms, 最高速率: 49.80 M/s, 平均速率: 0.00 M/s, 最高分辨率: 19x24
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 283, IPv6: 0, 最小延迟: 459 ms, 最高速率: 9.15 M/s, 平均速率: 2.65 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 6, IPv4: 269, IPv6: 0, 最小延迟: 53 ms, 最高速率: 19.27 M/s, 平均速率: 11.02 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 6, IPv4: 298, IPv6: 0, 最小延迟: 9 ms, 最高速率: 10.44 M/s, 平均速率: 4.77 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 283, IPv6: 0, 最小延迟: 9 ms, 最高速率: 15.87 M/s, 平均速率: 4.05 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 263, IPv6: 0, 最小延迟: 268 ms, 最高速率: 8.86 M/s, 平均速率: 2.49 M/s, 最高分辨率: 1920x1080
